name	station	date	mid_temp
Oslo - Blindern	SN18700	19.05.2000	11,5
Oslo - Blindern	SN18700	20.05.2000	12,1
Oslo - Blindern	SN18700	21.05.2000	13,2
Oslo - Blindern	SN18700	22.05.2000	11,7
Oslo - Blindern	SN18700	23.05.2000	12,5
Oslo - Blindern	SN18700	24.05.2000	13,3
Oslo - Blindern	SN18700	25.05.2000	10,9
Oslo - Blindern	SN18700	26.05.2000	11,2
Oslo - Blindern	SN18700	27.05.2000	8
Oslo - Blindern	SN18700	28.05.2000	11,2
Oslo - Blindern	SN18700	29.05.2000	8,9
Oslo - Blindern	SN18700	30.05.2000	9,8
Oslo - Blindern	SN18700	31.05.2000	10,6
Oslo - Blindern	SN18700	01.06.2000	10
Oslo - Blindern	SN18700	02.06.2000	12,3
Oslo - Blindern	SN18700	03.06.2000	11,3
Oslo - Blindern	SN18700	04.06.2000	10,8
Oslo - Blindern	SN18700	05.06.2000	11,9
Oslo - Blindern	SN18700	06.06.2000	13,3
Oslo - Blindern	SN18700	07.06.2000	13,1
Oslo - Blindern	SN18700	08.06.2000	14,4
Oslo - Blindern	SN18700	09.06.2000	15,3
Oslo - Blindern	SN18700	10.06.2000	13,6
Oslo - Blindern	SN18700	11.06.2000	15,4
Oslo - Blindern	SN18700	12.06.2000	13,5
Oslo - Blindern	SN18700	13.06.2000	13,7
Oslo - Blindern	SN18700	14.06.2000	14,2
Oslo - Blindern	SN18700	15.06.2000	12,5
Oslo - Blindern	SN18700	16.06.2000	13,1
Oslo - Blindern	SN18700	17.06.2000	11,8
Oslo - Blindern	SN18700	18.06.2000	11,9
Oslo - Blindern	SN18700	19.06.2000	13,8
Oslo - Blindern	SN18700	20.06.2000	19,1
Oslo - Blindern	SN18700	21.06.2000	17
Oslo - Blindern	SN18700	22.06.2000	16,1
Oslo - Blindern	SN18700	23.06.2000	13
Oslo - Blindern	SN18700	24.06.2000	14,4
Oslo - Blindern	SN18700	25.06.2000	14,1
Oslo - Blindern	SN18700	26.06.2000	11,3
Oslo - Blindern	SN18700	27.06.2000	11,3
Oslo - Blindern	SN18700	28.06.2000	11,3
Oslo - Blindern	SN18700	29.06.2000	14,7
Oslo - Blindern	SN18700	30.06.2000	19,4
Oslo - Blindern	SN18700	01.07.2000	17,2
Oslo - Blindern	SN18700	02.07.2000	17,3
Oslo - Blindern	SN18700	03.07.2000	18,2
Oslo - Blindern	SN18700	04.07.2000	17,1
Oslo - Blindern	SN18700	05.07.2000	17,9
Oslo - Blindern	SN18700	06.07.2000	15,6
Oslo - Blindern	SN18700	07.07.2000	14,8
Oslo - Blindern	SN18700	08.07.2000	13,1
Oslo - Blindern	SN18700	09.07.2000	13,3
Oslo - Blindern	SN18700	10.07.2000	12,1
Oslo - Blindern	SN18700	11.07.2000	13,8
Oslo - Blindern	SN18700	12.07.2000	16,6
Oslo - Blindern	SN18700	13.07.2000	15,9
Oslo - Blindern	SN18700	14.07.2000	13,7
Oslo - Blindern	SN18700	15.07.2000	16,4
Oslo - Blindern	SN18700	16.07.2000	15,6
Oslo - Blindern	SN18700	17.07.2000	15,5
Oslo - Blindern	SN18700	18.07.2000	17
Oslo - Blindern	SN18700	19.07.2000	18,1
Oslo - Blindern	SN18700	20.07.2000	17,3
Oslo - Blindern	SN18700	21.07.2000	16,3
Oslo - Blindern	SN18700	22.07.2000	19,9
Oslo - Blindern	SN18700	23.07.2000	18,2
Oslo - Blindern	SN18700	24.07.2000	16,9
Oslo - Blindern	SN18700	25.07.2000	17,9
Oslo - Blindern	SN18700	26.07.2000	12,7
Oslo - Blindern	SN18700	27.07.2000	12,9
Oslo - Blindern	SN18700	28.07.2000	16,8
Oslo - Blindern	SN18700	29.07.2000	17,6
Oslo - Blindern	SN18700	30.07.2000	19
Oslo - Blindern	SN18700	31.07.2000	18,7
Oslo - Blindern	SN18700	01.08.2000	17,3
Oslo - Blindern	SN18700	02.08.2000	17,6
Oslo - Blindern	SN18700	03.08.2000	15,9
Oslo - Blindern	SN18700	04.08.2000	16,8
Oslo - Blindern	SN18700	05.08.2000	17,2
Oslo - Blindern	SN18700	06.08.2000	17,2
Oslo - Blindern	SN18700	07.08.2000	14,2
Oslo - Blindern	SN18700	08.08.2000	15,4
Oslo - Blindern	SN18700	09.08.2000	14,4
Oslo - Blindern	SN18700	10.08.2000	14,5
Oslo - Blindern	SN18700	11.08.2000	15,3
Oslo - Blindern	SN18700	12.08.2000	15,9
Oslo - Blindern	SN18700	13.08.2000	16,7
Oslo - Blindern	SN18700	14.08.2000	15,7
Oslo - Blindern	SN18700	15.08.2000	18,4
Oslo - Blindern	SN18700	16.08.2000	17,1
Oslo - Blindern	SN18700	17.08.2000	15,4
Oslo - Blindern	SN18700	18.08.2000	15
Oslo - Blindern	SN18700	19.08.2000	14,7
Oslo - Blindern	SN18700	20.08.2000	13,4
Oslo - Blindern	SN18700	21.08.2000	12,9
Oslo - Blindern	SN18700	22.08.2000	14,4
Oslo - Blindern	SN18700	23.08.2000	13,8
Oslo - Blindern	SN18700	24.08.2000	12,1
Oslo - Blindern	SN18700	25.08.2000	14,2
Oslo - Blindern	SN18700	26.08.2000	15,9
Oslo - Blindern	SN18700	27.08.2000	14,9
Oslo - Blindern	SN18700	28.08.2000	16,5
Oslo - Blindern	SN18700	29.08.2000	15
Oslo - Blindern	SN18700	30.08.2000	14,3
Oslo - Blindern	SN18700	31.08.2000	14,5
Oslo - Blindern	SN18700	01.09.2000	14,4
Oslo - Blindern	SN18700	02.09.2000	11,6
Oslo - Blindern	SN18700	03.09.2000	11,2
Oslo - Blindern	SN18700	04.09.2000	10,7
Oslo - Blindern	SN18700	05.09.2000	11,4
Oslo - Blindern	SN18700	06.09.2000	11,4
Oslo - Blindern	SN18700	07.09.2000	12,9
Oslo - Blindern	SN18700	08.09.2000	13,6
Oslo - Blindern	SN18700	09.09.2000	13,6
Oslo - Blindern	SN18700	10.09.2000	12,7
Oslo - Blindern	SN18700	11.09.2000	10,1
Oslo - Blindern	SN18700	12.09.2000	10,5
Oslo - Blindern	SN18700	13.09.2000	11,2
Oslo - Blindern	SN18700	14.09.2000	10,8
Oslo - Blindern	SN18700	15.09.2000	10,4
Oslo - Blindern	SN18700	16.09.2000	12,1
Oslo - Blindern	SN18700	17.09.2000	11,7
Oslo - Blindern	SN18700	18.09.2000	11,2
Oslo - Blindern	SN18700	19.09.2000	10,9
Oslo - Blindern	SN18700	20.09.2000	10
Oslo - Blindern	SN18700	21.09.2000	10,7
Oslo - Blindern	SN18700	22.09.2000	10,6
Oslo - Blindern	SN18700	23.09.2000	11,9
Oslo - Blindern	SN18700	24.09.2000	10
Oslo - Blindern	SN18700	25.09.2000	9,3
Oslo - Blindern	SN18700	26.09.2000	9,4
Oslo - Blindern	SN18700	27.09.2000	9
Oslo - Blindern	SN18700	28.09.2000	12,3
Oslo - Blindern	SN18700	29.09.2000	14,4
Oslo - Blindern	SN18700	30.09.2000	15,9
Oslo - Blindern	SN18700	01.10.2000	11,2
Oslo - Blindern	SN18700	02.10.2000	12
Oslo - Blindern	SN18700	03.10.2000	13,2
Oslo - Blindern	SN18700	04.10.2000	12,5
Oslo - Blindern	SN18700	05.10.2000	11,9
Oslo - Blindern	SN18700	06.10.2000	12,4
Oslo - Blindern	SN18700	07.10.2000	12,4
Oslo - Blindern	SN18700	08.10.2000	9,4
Oslo - Blindern	SN18700	09.10.2000	8,4
Oslo - Blindern	SN18700	10.10.2000	8,8
Oslo - Blindern	SN18700	11.10.2000	9,7
Oslo - Blindern	SN18700	12.10.2000	10,2
Oslo - Blindern	SN18700	13.10.2000	9,6
Oslo - Blindern	SN18700	14.10.2000	10,5
Oslo - Blindern	SN18700	15.10.2000	11,4
Oslo - Blindern	SN18700	16.10.2000	10,9
Oslo - Blindern	SN18700	17.10.2000	12,8
Oslo - Blindern	SN18700	18.10.2000	10,6
Oslo - Blindern	SN18700	19.10.2000	9,6
Oslo - Blindern	SN18700	20.10.2000	8,6
Oslo - Blindern	SN18700	21.10.2000	10,8
Oslo - Blindern	SN18700	22.10.2000	9,2
Oslo - Blindern	SN18700	23.10.2000	8
Oslo - Blindern	SN18700	24.10.2000	8,9
Oslo - Blindern	SN18700	25.10.2000	6,4
Oslo - Blindern	SN18700	26.10.2000	5,5
Oslo - Blindern	SN18700	27.10.2000	3,5
Oslo - Blindern	SN18700	28.10.2000	2,9
Oslo - Blindern	SN18700	29.10.2000	6,5
Oslo - Blindern	SN18700	30.10.2000	7
Oslo - Blindern	SN18700	31.10.2000	9,4
Oslo - Blindern	SN18700	01.11.2000	6,5
Oslo - Blindern	SN18700	02.11.2000	5,9
Oslo - Blindern	SN18700	03.11.2000	7,7
Oslo - Blindern	SN18700	04.11.2000	7
Oslo - Blindern	SN18700	05.11.2000	5,9
Oslo - Blindern	SN18700	06.11.2000	4,9
Oslo - Blindern	SN18700	07.11.2000	5,9
Oslo - Blindern	SN18700	08.11.2000	8
Oslo - Blindern	SN18700	09.11.2000	7,9
Oslo - Blindern	SN18700	10.11.2000	6,5
Oslo - Blindern	SN18700	11.11.2000	6,8
Oslo - Blindern	SN18700	12.11.2000	7,1
Oslo - Blindern	SN18700	13.11.2000	6,5
Oslo - Blindern	SN18700	14.11.2000	6,1
Oslo - Blindern	SN18700	15.11.2000	5,4
Oslo - Blindern	SN18700	16.11.2000	5
Oslo - Blindern	SN18700	17.11.2000	5,3
Oslo - Blindern	SN18700	18.11.2000	2,9
Oslo - Blindern	SN18700	19.11.2000	5,9
Oslo - Blindern	SN18700	20.11.2000	5,5
Oslo - Blindern	SN18700	21.11.2000	5,5
Oslo - Blindern	SN18700	22.11.2000	2,8
Oslo - Blindern	SN18700	23.11.2000	6
Oslo - Blindern	SN18700	24.11.2000	6,3
Oslo - Blindern	SN18700	25.11.2000	5
Oslo - Blindern	SN18700	26.11.2000	4,5
Oslo - Blindern	SN18700	27.11.2000	6,1
Oslo - Blindern	SN18700	28.11.2000	4,5
Oslo - Blindern	SN18700	29.11.2000	4,7
Oslo - Blindern	SN18700	30.11.2000	6,5
Oslo - Blindern	SN18700	01.12.2000	2,8
Oslo - Blindern	SN18700	02.12.2000	7,1
Oslo - Blindern	SN18700	03.12.2000	7,5
Oslo - Blindern	SN18700	04.12.2000	5,1
Oslo - Blindern	SN18700	05.12.2000	8,4
Oslo - Blindern	SN18700	06.12.2000	8,1
Oslo - Blindern	SN18700	07.12.2000	6,4
Oslo - Blindern	SN18700	08.12.2000	2,4
Oslo - Blindern	SN18700	09.12.2000	5,8
Oslo - Blindern	SN18700	10.12.2000	7,2
Oslo - Blindern	SN18700	11.12.2000	5,6
Oslo - Blindern	SN18700	12.12.2000	2,4
Oslo - Blindern	SN18700	13.12.2000	7,8
Oslo - Blindern	SN18700	14.12.2000	5
Oslo - Blindern	SN18700	15.12.2000	4,7
Oslo - Blindern	SN18700	16.12.2000	4
Oslo - Blindern	SN18700	17.12.2000	1,3
Oslo - Blindern	SN18700	18.12.2000	0,4
Oslo - Blindern	SN18700	19.12.2000	-0,2
Oslo - Blindern	SN18700	20.12.2000	-3,7
Oslo - Blindern	SN18700	21.12.2000	-0,8
Oslo - Blindern	SN18700	22.12.2000	-3,3
Oslo - Blindern	SN18700	23.12.2000	-2,8
Oslo - Blindern	SN18700	24.12.2000	-2
Oslo - Blindern	SN18700	25.12.2000	-4,3
Oslo - Blindern	SN18700	26.12.2000	-5,4
Oslo - Blindern	SN18700	27.12.2000	-3,2
Oslo - Blindern	SN18700	28.12.2000	-3,5
Oslo - Blindern	SN18700	29.12.2000	-4,3
Oslo - Blindern	SN18700	30.12.2000	-7,3
Oslo - Blindern	SN18700	31.12.2000	-13,3
Oslo - Blindern	SN18700	01.01.2001	-8,6
Oslo - Blindern	SN18700	02.01.2001	-1,6
Oslo - Blindern	SN18700	03.01.2001	1,4
Oslo - Blindern	SN18700	04.01.2001	1,1
Oslo - Blindern	SN18700	05.01.2001	1,4
Oslo - Blindern	SN18700	06.01.2001	2,1
Oslo - Blindern	SN18700	07.01.2001	1,5
Oslo - Blindern	SN18700	08.01.2001	0,8
Oslo - Blindern	SN18700	09.01.2001	-1,1
Oslo - Blindern	SN18700	10.01.2001	-3,8
Oslo - Blindern	SN18700	11.01.2001	-2,5
Oslo - Blindern	SN18700	12.01.2001	-2,2
Oslo - Blindern	SN18700	13.01.2001	-4,6
Oslo - Blindern	SN18700	14.01.2001	-8,3
Oslo - Blindern	SN18700	15.01.2001	-10,3
Oslo - Blindern	SN18700	16.01.2001	-11,6
Oslo - Blindern	SN18700	17.01.2001	-12,9
Oslo - Blindern	SN18700	18.01.2001	-6,5
Oslo - Blindern	SN18700	19.01.2001	-7,9
Oslo - Blindern	SN18700	20.01.2001	-6,1
Oslo - Blindern	SN18700	21.01.2001	-2,9
Oslo - Blindern	SN18700	22.01.2001	-1,7
Oslo - Blindern	SN18700	23.01.2001	-2
Oslo - Blindern	SN18700	24.01.2001	0,7
Oslo - Blindern	SN18700	25.01.2001	3,3
Oslo - Blindern	SN18700	26.01.2001	2,7
Oslo - Blindern	SN18700	27.01.2001	1,7
Oslo - Blindern	SN18700	28.01.2001	1,1
Oslo - Blindern	SN18700	29.01.2001	-1,5
Oslo - Blindern	SN18700	30.01.2001	-4,8
Oslo - Blindern	SN18700	31.01.2001	-5
Oslo - Blindern	SN18700	01.02.2001	-8,6
Oslo - Blindern	SN18700	02.02.2001	-11,1
Oslo - Blindern	SN18700	03.02.2001	-15
Oslo - Blindern	SN18700	04.02.2001	-16,4
Oslo - Blindern	SN18700	05.02.2001	-18,1
Oslo - Blindern	SN18700	06.02.2001	-12,2
Oslo - Blindern	SN18700	07.02.2001	-5
Oslo - Blindern	SN18700	08.02.2001	-1,3
Oslo - Blindern	SN18700	09.02.2001	-6,5
Oslo - Blindern	SN18700	10.02.2001	-8,2
Oslo - Blindern	SN18700	11.02.2001	-0,7
Oslo - Blindern	SN18700	12.02.2001	3
Oslo - Blindern	SN18700	13.02.2001	0,9
Oslo - Blindern	SN18700	14.02.2001	4,1
Oslo - Blindern	SN18700	15.02.2001	0,4
Oslo - Blindern	SN18700	16.02.2001	0,5
Oslo - Blindern	SN18700	17.02.2001	-1
Oslo - Blindern	SN18700	18.02.2001	2,4
Oslo - Blindern	SN18700	19.02.2001	-0,3
Oslo - Blindern	SN18700	20.02.2001	0,2
Oslo - Blindern	SN18700	21.02.2001	2,4
Oslo - Blindern	SN18700	22.02.2001	-1,6
Oslo - Blindern	SN18700	23.02.2001	-8,3
Oslo - Blindern	SN18700	24.02.2001	-7,9
Oslo - Blindern	SN18700	25.02.2001	-9,2
Oslo - Blindern	SN18700	26.02.2001	-9,7
Oslo - Blindern	SN18700	27.02.2001	-10,2
Oslo - Blindern	SN18700	28.02.2001	-10,7
Oslo - Blindern	SN18700	01.03.2001	-9,7
Oslo - Blindern	SN18700	02.03.2001	-9
Oslo - Blindern	SN18700	03.03.2001	-8,2
Oslo - Blindern	SN18700	04.03.2001	-3,2
Oslo - Blindern	SN18700	05.03.2001	-2,6
Oslo - Blindern	SN18700	06.03.2001	4,3
Oslo - Blindern	SN18700	07.03.2001	-0,7
Oslo - Blindern	SN18700	08.03.2001	1,3
Oslo - Blindern	SN18700	09.03.2001	0,9
Oslo - Blindern	SN18700	10.03.2001	2,7
Oslo - Blindern	SN18700	11.03.2001	2,5
Oslo - Blindern	SN18700	12.03.2001	2,9
Oslo - Blindern	SN18700	13.03.2001	2,4
Oslo - Blindern	SN18700	14.03.2001	2,4
Oslo - Blindern	SN18700	15.03.2001	1,1
Oslo - Blindern	SN18700	16.03.2001	-0,2
Oslo - Blindern	SN18700	17.03.2001	-3,5
Oslo - Blindern	SN18700	18.03.2001	-5,9
Oslo - Blindern	SN18700	19.03.2001	-6,6
Oslo - Blindern	SN18700	20.03.2001	-4,5
Oslo - Blindern	SN18700	21.03.2001	-2
Oslo - Blindern	SN18700	22.03.2001	-2,3
Oslo - Blindern	SN18700	23.03.2001	-3,6
Oslo - Blindern	SN18700	24.03.2001	-2,8
Oslo - Blindern	SN18700	25.03.2001	-1,9
Oslo - Blindern	SN18700	26.03.2001	-1
Oslo - Blindern	SN18700	27.03.2001	-1,9
Oslo - Blindern	SN18700	28.03.2001	-1,5
Oslo - Blindern	SN18700	29.03.2001	0,6
Oslo - Blindern	SN18700	30.03.2001	1
Oslo - Blindern	SN18700	31.03.2001	2,5
Oslo - Blindern	SN18700	01.04.2001	3,4
Oslo - Blindern	SN18700	02.04.2001	3,1
Oslo - Blindern	SN18700	03.04.2001	3,9
Oslo - Blindern	SN18700	04.04.2001	3,2
Oslo - Blindern	SN18700	05.04.2001	5
Oslo - Blindern	SN18700	06.04.2001	2,7
Oslo - Blindern	SN18700	07.04.2001	3,6
Oslo - Blindern	SN18700	08.04.2001	4,1
Oslo - Blindern	SN18700	09.04.2001	5,4
Oslo - Blindern	SN18700	10.04.2001	5,3
Oslo - Blindern	SN18700	11.04.2001	3,9
Oslo - Blindern	SN18700	12.04.2001	1,1
Oslo - Blindern	SN18700	13.04.2001	0,6
Oslo - Blindern	SN18700	14.04.2001	-0,6
Oslo - Blindern	SN18700	15.04.2001	0,5
Oslo - Blindern	SN18700	16.04.2001	4,7
Oslo - Blindern	SN18700	17.04.2001	4,6
Oslo - Blindern	SN18700	18.04.2001	1,5
Oslo - Blindern	SN18700	19.04.2001	2,7
Oslo - Blindern	SN18700	20.04.2001	5,1
Oslo - Blindern	SN18700	21.04.2001	5,1
Oslo - Blindern	SN18700	22.04.2001	7,2
Oslo - Blindern	SN18700	23.04.2001	8,1
Oslo - Blindern	SN18700	24.04.2001	6
Oslo - Blindern	SN18700	25.04.2001	5,8
Oslo - Blindern	SN18700	26.04.2001	6,4
Oslo - Blindern	SN18700	27.04.2001	5,7
Oslo - Blindern	SN18700	28.04.2001	6,6
Oslo - Blindern	SN18700	29.04.2001	7,2
Oslo - Blindern	SN18700	30.04.2001	7,3
Oslo - Blindern	SN18700	01.05.2001	9
Oslo - Blindern	SN18700	02.05.2001	10
Oslo - Blindern	SN18700	03.05.2001	9,1
Oslo - Blindern	SN18700	04.05.2001	7,5
Oslo - Blindern	SN18700	05.05.2001	7,5
Oslo - Blindern	SN18700	06.05.2001	9,6
Oslo - Blindern	SN18700	07.05.2001	13
Oslo - Blindern	SN18700	08.05.2001	14
Oslo - Blindern	SN18700	09.05.2001	16
Oslo - Blindern	SN18700	10.05.2001	16,6
Oslo - Blindern	SN18700	11.05.2001	17,2
Oslo - Blindern	SN18700	12.05.2001	17,2
Oslo - Blindern	SN18700	13.05.2001	15
Oslo - Blindern	SN18700	14.05.2001	12,1
Oslo - Blindern	SN18700	15.05.2001	12,8
Oslo - Blindern	SN18700	16.05.2001	8,2
Oslo - Blindern	SN18700	17.05.2001	9,6
Oslo - Blindern	SN18700	18.05.2001	9,5
Oslo - Blindern	SN18700	19.05.2001	13
Oslo - Blindern	SN18700	20.05.2001	10,3
Oslo - Blindern	SN18700	21.05.2001	9,9
Oslo - Blindern	SN18700	22.05.2001	12,5
Oslo - Blindern	SN18700	23.05.2001	13,8
Oslo - Blindern	SN18700	24.05.2001	13,3
Oslo - Blindern	SN18700	25.05.2001	11,1
Oslo - Blindern	SN18700	26.05.2001	12,3
Oslo - Blindern	SN18700	27.05.2001	15,2
Oslo - Blindern	SN18700	28.05.2001	13
Oslo - Blindern	SN18700	29.05.2001	8,2
Oslo - Blindern	SN18700	30.05.2001	8,4
Oslo - Blindern	SN18700	31.05.2001	12,3
Oslo - Blindern	SN18700	01.06.2001	12,3
Oslo - Blindern	SN18700	02.06.2001	11,6
Oslo - Blindern	SN18700	03.06.2001	13,4
Oslo - Blindern	SN18700	04.06.2001	13,8
Oslo - Blindern	SN18700	05.06.2001	14,6
Oslo - Blindern	SN18700	06.06.2001	12,1
Oslo - Blindern	SN18700	07.06.2001	11,8
Oslo - Blindern	SN18700	08.06.2001	8,6
Oslo - Blindern	SN18700	09.06.2001	11
Oslo - Blindern	SN18700	10.06.2001	10,6
Oslo - Blindern	SN18700	11.06.2001	11,7
Oslo - Blindern	SN18700	12.06.2001	13
Oslo - Blindern	SN18700	13.06.2001	13,3
Oslo - Blindern	SN18700	14.06.2001	12
Oslo - Blindern	SN18700	15.06.2001	13,2
Oslo - Blindern	SN18700	16.06.2001	15,6
Oslo - Blindern	SN18700	17.06.2001	15,2
Oslo - Blindern	SN18700	18.06.2001	15,8
Oslo - Blindern	SN18700	19.06.2001	18,7
Oslo - Blindern	SN18700	20.06.2001	13,8
Oslo - Blindern	SN18700	21.06.2001	13,6
Oslo - Blindern	SN18700	22.06.2001	14,5
Oslo - Blindern	SN18700	23.06.2001	19,7
Oslo - Blindern	SN18700	24.06.2001	19,6
Oslo - Blindern	SN18700	25.06.2001	20,6
Oslo - Blindern	SN18700	26.06.2001	19,7
Oslo - Blindern	SN18700	27.06.2001	19,1
Oslo - Blindern	SN18700	28.06.2001	16,8
Oslo - Blindern	SN18700	29.06.2001	18,1
Oslo - Blindern	SN18700	30.06.2001	15,4
Oslo - Blindern	SN18700	01.07.2001	16,8
Oslo - Blindern	SN18700	02.07.2001	17,9
Oslo - Blindern	SN18700	03.07.2001	18,1
Oslo - Blindern	SN18700	04.07.2001	20,4
Oslo - Blindern	SN18700	05.07.2001	20,2
Oslo - Blindern	SN18700	06.07.2001	20,8
Oslo - Blindern	SN18700	07.07.2001	22,1
Oslo - Blindern	SN18700	08.07.2001	23,1
Oslo - Blindern	SN18700	09.07.2001	19,9
Oslo - Blindern	SN18700	10.07.2001	19,6
Oslo - Blindern	SN18700	11.07.2001	16,8
Oslo - Blindern	SN18700	12.07.2001	13,6
Oslo - Blindern	SN18700	13.07.2001	13,5
Oslo - Blindern	SN18700	14.07.2001	16
Oslo - Blindern	SN18700	15.07.2001	13,4
Oslo - Blindern	SN18700	16.07.2001	15,1
Oslo - Blindern	SN18700	17.07.2001	14,7
Oslo - Blindern	SN18700	18.07.2001	15
Oslo - Blindern	SN18700	19.07.2001	15,4
Oslo - Blindern	SN18700	20.07.2001	17,3
Oslo - Blindern	SN18700	21.07.2001	17,8
Oslo - Blindern	SN18700	22.07.2001	15,5
Oslo - Blindern	SN18700	23.07.2001	19
Oslo - Blindern	SN18700	24.07.2001	18,4
Oslo - Blindern	SN18700	25.07.2001	18
Oslo - Blindern	SN18700	26.07.2001	19,2
Oslo - Blindern	SN18700	27.07.2001	20
Oslo - Blindern	SN18700	28.07.2001	19,3
Oslo - Blindern	SN18700	29.07.2001	20,5
Oslo - Blindern	SN18700	30.07.2001	16,6
Oslo - Blindern	SN18700	31.07.2001	16,1
Oslo - Blindern	SN18700	01.08.2001	15,6
Oslo - Blindern	SN18700	02.08.2001	16,1
Oslo - Blindern	SN18700	03.08.2001	14,1
Oslo - Blindern	SN18700	04.08.2001	18,6
Oslo - Blindern	SN18700	05.08.2001	16,5
Oslo - Blindern	SN18700	06.08.2001	14,4
Oslo - Blindern	SN18700	07.08.2001	14,9
Oslo - Blindern	SN18700	08.08.2001	13,4
Oslo - Blindern	SN18700	09.08.2001	15,6
Oslo - Blindern	SN18700	10.08.2001	16,2
Oslo - Blindern	SN18700	11.08.2001	15,3
Oslo - Blindern	SN18700	12.08.2001	14,9
Oslo - Blindern	SN18700	13.08.2001	15,2
Oslo - Blindern	SN18700	14.08.2001	18,6
Oslo - Blindern	SN18700	15.08.2001	17,7
Oslo - Blindern	SN18700	16.08.2001	19,7
Oslo - Blindern	SN18700	17.08.2001	18,1
Oslo - Blindern	SN18700	18.08.2001	15,7
Oslo - Blindern	SN18700	19.08.2001	16,8
Oslo - Blindern	SN18700	20.08.2001	14,8
Oslo - Blindern	SN18700	21.08.2001	17,5
Oslo - Blindern	SN18700	22.08.2001	15,7
Oslo - Blindern	SN18700	23.08.2001	17
Oslo - Blindern	SN18700	24.08.2001	17,5
Oslo - Blindern	SN18700	25.08.2001	16,2
Oslo - Blindern	SN18700	26.08.2001	17,3
Oslo - Blindern	SN18700	27.08.2001	13,4
Oslo - Blindern	SN18700	28.08.2001	12,9
Oslo - Blindern	SN18700	29.08.2001	15
Oslo - Blindern	SN18700	30.08.2001	14,5
Oslo - Blindern	SN18700	31.08.2001	14,8
Oslo - Blindern	SN18700	01.09.2001	12,8
Oslo - Blindern	SN18700	02.09.2001	11,2
Oslo - Blindern	SN18700	03.09.2001	13,2
Oslo - Blindern	SN18700	04.09.2001	14,2
Oslo - Blindern	SN18700	05.09.2001	13,9
Oslo - Blindern	SN18700	06.09.2001	14,3
Oslo - Blindern	SN18700	07.09.2001	11,8
Oslo - Blindern	SN18700	08.09.2001	10,5
Oslo - Blindern	SN18700	09.09.2001	12
Oslo - Blindern	SN18700	10.09.2001	11,6
Oslo - Blindern	SN18700	11.09.2001	11,4
Oslo - Blindern	SN18700	12.09.2001	13,6
Oslo - Blindern	SN18700	13.09.2001	12,7
Oslo - Blindern	SN18700	14.09.2001	12,5
Oslo - Blindern	SN18700	15.09.2001	12,6
Oslo - Blindern	SN18700	16.09.2001	12,4
Oslo - Blindern	SN18700	17.09.2001	14,4
Oslo - Blindern	SN18700	18.09.2001	16,2
Oslo - Blindern	SN18700	19.09.2001	15,4
Oslo - Blindern	SN18700	20.09.2001	11
Oslo - Blindern	SN18700	21.09.2001	12,4
Oslo - Blindern	SN18700	22.09.2001	13,6
Oslo - Blindern	SN18700	23.09.2001	13,6
Oslo - Blindern	SN18700	24.09.2001	9,1
Oslo - Blindern	SN18700	25.09.2001	7,4
Oslo - Blindern	SN18700	26.09.2001	8,4
Oslo - Blindern	SN18700	27.09.2001	8,8
Oslo - Blindern	SN18700	28.09.2001	7,4
Oslo - Blindern	SN18700	29.09.2001	5,4
Oslo - Blindern	SN18700	30.09.2001	6,2
Oslo - Blindern	SN18700	01.10.2001	10,2
Oslo - Blindern	SN18700	02.10.2001	12
Oslo - Blindern	SN18700	03.10.2001	13,1
Oslo - Blindern	SN18700	04.10.2001	11,3
Oslo - Blindern	SN18700	05.10.2001	10
Oslo - Blindern	SN18700	06.10.2001	11,9
Oslo - Blindern	SN18700	07.10.2001	11,6
Oslo - Blindern	SN18700	08.10.2001	12,1
Oslo - Blindern	SN18700	09.10.2001	11,6
Oslo - Blindern	SN18700	10.10.2001	11,3
Oslo - Blindern	SN18700	11.10.2001	7,6
Oslo - Blindern	SN18700	12.10.2001	12,7
Oslo - Blindern	SN18700	13.10.2001	10,4
Oslo - Blindern	SN18700	14.10.2001	7,1
Oslo - Blindern	SN18700	15.10.2001	9,5
Oslo - Blindern	SN18700	16.10.2001	12,2
Oslo - Blindern	SN18700	17.10.2001	10,4
Oslo - Blindern	SN18700	18.10.2001	7,8
Oslo - Blindern	SN18700	19.10.2001	5,3
Oslo - Blindern	SN18700	20.10.2001	6
Oslo - Blindern	SN18700	21.10.2001	7,9
Oslo - Blindern	SN18700	22.10.2001	4,9
Oslo - Blindern	SN18700	23.10.2001	2,4
Oslo - Blindern	SN18700	24.10.2001	3,4
Oslo - Blindern	SN18700	25.10.2001	4,6
Oslo - Blindern	SN18700	26.10.2001	11,1
Oslo - Blindern	SN18700	27.10.2001	10,5
Oslo - Blindern	SN18700	28.10.2001	9,1
Oslo - Blindern	SN18700	29.10.2001	6,2
Oslo - Blindern	SN18700	30.10.2001	8,2
Oslo - Blindern	SN18700	31.10.2001	5,6
Oslo - Blindern	SN18700	01.11.2001	5,4
Oslo - Blindern	SN18700	02.11.2001	6
Oslo - Blindern	SN18700	03.11.2001	8,5
Oslo - Blindern	SN18700	04.11.2001	6,8
Oslo - Blindern	SN18700	05.11.2001	2,4
Oslo - Blindern	SN18700	06.11.2001	0,4
Oslo - Blindern	SN18700	07.11.2001	-1
Oslo - Blindern	SN18700	08.11.2001	-0,8
